股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
000037,深南电A,2025-05-30,ChanBreakoutStrategyV8,Daily,False,143.7155,False,-0.2751,0.5767,False,2.4919,False,
000420,吉林化纤,2025-05-30,AdaptedMAPullbackStrategy,Daily,False,371.5676,False,0.3239,-0.6059,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).
000531,穗恒运Ａ,2025-05-30,RefactoredMultiLevelCrossStrategy,Daily,False,34.3714,False,-0.0778,2.1036,False,0.1634,True,
000539,粤电力Ａ,2025-05-30,ChanBreakoutStrategyV8,Daily,False,13.7742,True,-0.1733,-4.0397,False,,,PEG近似值计算失败：利润增长率无效或非正 (-4.0396825396825395).
000559,万向钱潮,2025-05-30,AdaptedMAPullbackStrategy,Daily,True,27.0332,True,0.2739,0.0502,True,5.3873,False,
000576,甘化科工,2025-05-30,AdaptedMAPullbackStrategy,Daily,False,172.7570,False,0.2376,-0.4725,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).
000637,茂化实华,2025-05-30,AdaptedMAPullbackStrategy,Daily,False,,,-0.3400,0.2028,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000722,湖南发展,2025-05-30,AdaptedMAPullbackStrategy,Daily,True,89.1550,False,-0.3420,-0.8352,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000761,本钢板材,2025-05-30,AdaptedMAPullbackStrategy,Daily,False,,,-0.1687,0.1489,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-5037000000.0).
000767,晋控电力,2025-05-30,AdaptedMAPullbackStrategy,Daily,False,263.9667,False,-0.1323,1.1195,False,2.3578,False,
