symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
000409,云鼎科技,2025-06-05,RefactoredMultiLevelCrossStrategy,Daily,76.88亿,82.90,4.97,-0.20,-0.33,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.3323912882042795).; PEG近似值计算失败：利润增长率无效或非正 (-0.3323912882042795).
000420,吉林化纤,2025-06-05,AdaptedMAPullbackStrategy,Daily,101.80亿,367.33,2.31,0.32,-0.61,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).; PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).
000559,万向钱潮,2025-06-05,AdaptedMAPullbackStrategy,Daily,261.00亿,27.44,2.76,0.27,0.05,5.47,是,是,是,否,,
000565,渝三峡Ａ,2025-06-05,AdaptedMAPullbackStrategy,Daily,42.67亿,977.02,3.43,0.07,-0.53,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).; PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).
000637,茂化实华,2025-06-05,AdaptedMAPullbackStrategy,Daily,20.17亿,,3.29,-0.34,0.20,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000720,新能泰山,2025-06-05,AdaptedMAPullbackStrategy,Daily,42.60亿,,1.79,0.75,2.44,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).
000722,湖南发展,2025-06-05,AdaptedMAPullbackStrategy,Daily,60.48亿,89.20,1.95,-0.34,-0.84,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).; PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000859,国风新材,2025-06-05,AdaptedMAPullbackStrategy,Daily,70.69亿,,2.55,-0.01,0.02,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).
001255,博菲电气,2025-06-05,AdaptedMAPullbackStrategy,Daily,24.00亿,181.30,3.30,0.31,4.55,0.40,是,是,否,是,,
001258,立新能源,2025-06-05,RefactoredMultiLevelCrossStrategy,Daily,70.65亿,140.79,2.43,0.05,-1.67,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-1.6650686439534372).; PEG近似值计算失败：利润增长率无效或非正 (-1.6650686439534372).
