symbol,signal_date,strategy,timeframe
000301,2025-04-30,MultiLevelCross,monthly
000505,2025-04-30,MultiLevelCross,monthly
000599,2025-04-30,MultiLevelCross,monthly
000617,2025-04-30,MultiLevelCross,monthly
000626,2025-04-30,MultiLevelCross,monthly
000720,2025-04-30,MultiLevelCross,monthly
000862,2025-04-30,MultiLevelCross,monthly
000869,2025-04-30,MultiLevelCross,monthly
000937,2025-04-30,MultiLevelCross,monthly
001300,2025-04-30,MultiLevelCross,monthly
001366,2025-04-30,MultiLevelCross,monthly
002081,2025-04-30,MultiLevelCross,monthly
002084,2025-04-30,MultiLevelCross,monthly
002107,2025-04-30,MultiLevelCross,monthly
002188,2025-04-30,MultiLevelCross,monthly
002216,2025-04-30,MultiLevelCross,monthly
002259,2025-04-30,MultiLevelCross,monthly
002314,2025-04-30,MultiLevelCross,monthly
002422,2025-04-30,MultiLevelCross,daily
002589,2025-04-30,MultiLevelCross,daily
002612,2025-04-30,MultiLevelCross,monthly
002719,2025-04-30,MultiLevelCross,monthly
002727,2025-04-30,MultiLevelCross,monthly
002780,2025-04-30,MultiLevelCross,monthly
002798,2025-04-30,MultiLevelCross,monthly
002800,2025-04-30,MultiLevelCross,monthly
002856,2025-04-30,MultiLevelCross,monthly
002868,2025-04-30,MultiLevelCross,monthly
002893,2025-04-30,MultiLevelCross,monthly
002901,2025-04-30,MultiLevelCross,daily
002983,2025-04-30,MultiLevelCross,monthly
003000,2025-04-30,MultiLevelCross,monthly
003011,2025-04-30,MultiLevelCross,monthly
003037,2025-04-30,MultiLevelCross,monthly
300130,2025-04-30,MultiLevelCross,monthly
300240,2025-04-30,MultiLevelCross,monthly
300267,2025-04-30,MultiLevelCross,monthly
300281,2025-04-30,MultiLevelCross,daily
300318,2025-04-30,MultiLevelCross,monthly
300345,2025-04-30,MultiLevelCross,monthly
300350,2025-04-30,MultiLevelCross,monthly
300401,2025-04-30,MultiLevelCross,monthly
300555,2025-04-30,MultiLevelCross,daily
300690,2025-04-30,MultiLevelCross,monthly
300929,2025-04-30,MultiLevelCross,monthly
300970,2025-04-30,MultiLevelCross,monthly
301098,2025-04-30,MultiLevelCross,monthly
600004,2025-04-30,MultiLevelCross,daily
600057,2025-04-30,MultiLevelCross,monthly
600059,2025-04-30,MultiLevelCross,monthly
600127,2025-04-30,MultiLevelCross,monthly
600163,2025-04-30,MultiLevelCross,monthly
600252,2025-04-30,MultiLevelCross,monthly
600262,2025-04-30,MultiLevelCross,monthly
600305,2025-04-30,MultiLevelCross,monthly
600337,2025-04-30,MultiLevelCross,monthly
600340,2025-04-30,MultiLevelCross,daily
600365,2025-04-30,MultiLevelCross,monthly
600396,2025-04-30,MultiLevelCross,monthly
600535,2025-04-30,MultiLevelCross,daily
600540,2025-04-30,MultiLevelCross,monthly
600697,2025-04-30,MultiLevelCross,monthly
600743,2025-04-30,MultiLevelCross,daily
600791,2025-04-30,MultiLevelCross,monthly
600900,2025-04-30,MultiLevelCross,monthly
600939,2025-04-30,MultiLevelCross,monthly
601007,2025-04-30,MultiLevelCross,monthly
601127,2025-04-30,MultiLevelCross,daily
601128,2025-04-30,MultiLevelCross,monthly
601188,2025-04-30,MultiLevelCross,monthly
601515,2025-04-30,MultiLevelCross,monthly
601568,2025-04-30,MultiLevelCross,monthly
601678,2025-04-30,MultiLevelCross,daily
603076,2025-04-30,MultiLevelCross,monthly
603128,2025-04-30,MultiLevelCross,monthly
603163,2025-04-30,MultiLevelCross,monthly
603221,2025-04-30,MultiLevelCross,monthly
603313,2025-04-30,MultiLevelCross,monthly
603389,2025-04-30,MultiLevelCross,monthly
603507,2025-04-30,MultiLevelCross,monthly
603520,2025-04-30,MultiLevelCross,daily
603566,2025-04-30,MultiLevelCross,monthly
603569,2025-04-30,MultiLevelCross,monthly
603605,2025-04-30,MultiLevelCross,monthly
603616,2025-04-30,MultiLevelCross,monthly
603639,2025-04-30,MultiLevelCross,monthly
603685,2025-04-30,MultiLevelCross,monthly
603709,2025-04-30,MultiLevelCross,monthly
603893,2025-04-30,MultiLevelCross,daily
605151,2025-04-30,MultiLevelCross,daily
605289,2025-04-30,MultiLevelCross,monthly
605358,2025-04-30,MultiLevelCross,monthly
605567,2025-04-30,MultiLevelCross,monthly
605588,2025-04-30,MultiLevelCross,daily
688156,2025-04-30,MultiLevelCross,monthly
688188,2025-04-30,MultiLevelCross,monthly
688271,2025-04-30,MultiLevelCross,monthly
688283,2025-04-30,MultiLevelCross,monthly
688337,2025-04-30,MultiLevelCross,monthly
688591,2025-04-30,MultiLevelCross,daily
688602,2025-04-30,MultiLevelCross,monthly
688648,2025-04-30,MultiLevelCross,monthly
688682,2025-04-30,MultiLevelCross,monthly
688687,2025-04-30,MultiLevelCross,daily
688799,2025-04-30,MultiLevelCross,monthly
