股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
002800,天顺股份,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002836,新宏泽,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
003003,天元股份,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
003020,立方制药,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300005,探路者,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300132,青松股份,2025-05-15,RefactoredMultiLevelCrossStrategy,daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300138,晨光生物,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300180,华峰超纤,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300437,清水源,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300464,星徽股份,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300468,四方精创,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300584,海辰药业,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300723,一品红,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
300791,仙乐健康,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,PE not calculated: Latest annual report not found.; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
301052,果麦文化,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
301065,本立科技,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
301077,星华新材,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
301235,华康洁净,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
600051,宁波联合,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600076,康欣新材,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
600392,盛和资源,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
600490,鹏欣资源,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600505,西昌电力,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600547,山东黄金,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600671,ST目药,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600774,汉商集团,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600790,轻纺城,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600794,保税科技,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600828,茂业商业,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600969,郴电国际,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
600988,赤峰黄金,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
601022,宁波远洋,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
601319,中国人保,2025-05-15,ChanBreakoutStrategyV8,Daily,,,,,,,,,Missing closing price for fundamental analysis
603128,华贸物流,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
603139,康惠制药,2025-05-15,AdaptedMAPullbackStrategy,Daily,,,,,,,,,Missing closing price for fundamental analysis
