symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
000039,中集集团,2025-06-13,RefactoredMultiLevelCrossStrategy,Daily,424.93亿,14.30,0.85,0.11,5.50,0.03,是,是,是,是,,
000519,中兵红箭,2025-06-13,RefactoredMultiLevelCrossStrategy,Daily,240.91亿,,2.38,-0.30,-8.44,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-8.43955392619586).; PE计算失败：年度净利润无效或非正 (-327000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-8.43955392619586).; PE计算失败：年度净利润无效或非正 (-327000000.0).
000520,凤凰航运,2025-06-13,AdaptedMAPullbackStrategy,Daily,53.34亿,,11.70,-0.23,0.67,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82701900.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82701900.0).
000520,凤凰航运,2025-06-13,RefactoredMultiLevelCrossStrategy,Daily,53.34亿,,11.70,-0.23,0.67,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82701900.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-82701900.0).
000539,粤电力Ａ,2025-06-13,AdaptedMAPullbackStrategy,Daily,245.71亿,25.49,1.08,-0.17,-4.04,,否,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-4.0396825396825395).; PEG近似值计算失败：利润增长率无效或非正 (-4.0396825396825395).
000561,烽火电子,2025-06-13,AdaptedMAPullbackStrategy,Daily,68.38亿,,2.94,-0.18,0.06,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-152000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-152000000.0).
000576,甘化科工,2025-06-13,AdaptedMAPullbackStrategy,Daily,39.89亿,194.44,2.46,0.24,-0.47,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).; PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).
000633,合金投资,2025-06-13,AdaptedMAPullbackStrategy,Daily,22.95亿,196.55,12.02,0.94,0.28,7.07,是,是,否,否,,
000637,茂化实华,2025-06-13,AdaptedMAPullbackStrategy,Daily,20.64亿,,3.37,-0.34,0.20,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000691,*ST亚太,2025-06-13,AdaptedMAPullbackStrategy,Daily,15.13亿,,,-0.13,-0.01,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.013731309850478804).; PE计算失败：年度净利润无效或非正 (-105000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.013731309850478804).; PE计算失败：年度净利润无效或非正 (-105000000.0).
000695,滨海能源,2025-06-13,AdaptedMAPullbackStrategy,Daily,28.30亿,,19.25,-0.14,-15.43,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-15.42952460383653).; PE计算失败：年度净利润无效或非正 (-28134200.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-15.42952460383653).; PE计算失败：年度净利润无效或非正 (-28134200.0).
000720,新能泰山,2025-06-13,AdaptedMAPullbackStrategy,Daily,42.47亿,,1.79,0.75,2.44,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).
000722,湖南发展,2025-06-13,AdaptedMAPullbackStrategy,Daily,61.32亿,90.43,1.97,-0.34,-0.84,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).; PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000822,山东海化,2025-06-13,RefactoredMultiLevelCrossStrategy,Daily,55.32亿,141.05,1.08,-0.44,-1.43,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-1.4264397435897436).; PEG近似值计算失败：利润增长率无效或非正 (-1.4264397435897436).
000903,云内动力,2025-06-13,AdaptedMAPullbackStrategy,Daily,82.87亿,,5.13,-0.14,-1.84,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.8356077545469214).; PE计算失败：年度净利润无效或非正 (-1217000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.8356077545469214).; PE计算失败：年度净利润无效或非正 (-1217000000.0).
000953,河化股份,2025-06-13,AdaptedMAPullbackStrategy,Daily,25.56亿,32.25,17.38,-0.34,2.17,0.15,否,否,否,是,,
000968,蓝焰控股,2025-06-13,ChanBreakoutStrategyV8,Daily,68.69亿,15.83,1.12,-0.01,0.16,1.01,是,否,是,否,,
000985,大庆华科,2025-06-13,ChanBreakoutStrategyV8,Daily,23.63亿,159.73,3.86,0.04,0.94,1.70,是,是,否,否,,
001230,劲旅环境,2025-06-13,AdaptedMAPullbackStrategy,Daily,27.38亿,19.42,1.45,0.01,0.21,0.91,是,是,是,是,,
001255,博菲电气,2025-06-13,AdaptedMAPullbackStrategy,Daily,24.70亿,186.62,3.40,0.31,4.55,0.41,是,是,否,是,,
001296,长江材料,2025-06-13,ChanBreakoutStrategyV8,Daily,27.63亿,22.83,1.60,0.20,0.18,1.26,是,是,是,否,,
001328,登康口腔,2025-06-13,AdaptedMAPullbackStrategy,Daily,90.87亿,56.44,6.07,0.19,0.16,3.61,是,是,否,否,,
001367,海森药业,2025-06-13,AdaptedMAPullbackStrategy,Daily,34.88亿,28.36,2.53,0.02,-0.07,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.06507752030864357).; PEG近似值计算失败：利润增长率无效或非正 (-0.06507752030864357).
001896,豫能控股,2025-06-13,RefactoredMultiLevelCrossStrategy,Daily,78.12亿,,2.46,-0.12,6.23,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-121000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-121000000.0).
002052,*ST同洲,2025-06-13,AdaptedMAPullbackStrategy,Daily,76.39亿,109.74,35.86,6.64,31.33,0.04,否,是,否,是,,
002074,国轩高科,2025-06-13,AdaptedMAPullbackStrategy,Daily,445.75亿,36.93,1.72,0.21,0.46,0.80,是,是,否,是,,
002094,青岛金王,2025-06-13,AdaptedMAPullbackStrategy,Daily,60.87亿,173.34,4.09,-0.02,-0.05,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.05229013430536571).; PEG近似值计算失败：利润增长率无效或非正 (-0.05229013430536571).
002099,海翔药业,2025-06-13,AdaptedMAPullbackStrategy,Daily,93.56亿,,1.82,-0.08,-0.72,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.7168160327429257).; PE计算失败：年度净利润无效或非正 (-330000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.7168160327429257).; PE计算失败：年度净利润无效或非正 (-330000000.0).
002109,兴化股份,2025-06-13,ChanBreakoutStrategyV8,Daily,47.99亿,,1.09,-0.07,0.36,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-380000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-380000000.0).
002144,宏达高科,2025-06-13,AdaptedMAPullbackStrategy,Daily,20.33亿,72.74,0.98,0.02,-0.02,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).; PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).
002190,成飞集成,2025-06-13,AdaptedMAPullbackStrategy,Daily,131.73亿,,3.88,0.04,1.08,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-75089600.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-75089600.0).
002194,武汉凡谷,2025-06-13,AdaptedMAPullbackStrategy,Daily,97.91亿,183.89,3.85,0.22,1.95,0.94,是,是,否,是,,
002237,恒邦股份,2025-06-13,ChanBreakoutStrategyV8,Daily,147.64亿,27.49,1.47,-0.09,0.11,2.58,是,否,是,否,,
002259,升达林业,2025-06-13,AdaptedMAPullbackStrategy,Daily,30.62亿,255.19,11.51,0.52,1.77,1.44,否,是,否,否,,
002277,友阿股份,2025-06-13,AdaptedMAPullbackStrategy,Daily,81.70亿,291.66,1.22,-0.14,-0.35,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.3548400733448529).; PEG近似值计算失败：利润增长率无效或非正 (-0.3548400733448529).
002286,保龄宝,2025-06-13,AdaptedMAPullbackStrategy,Daily,40.93亿,36.88,1.96,0.24,1.17,0.31,是,是,否,是,,
002290,禾盛新材,2025-06-13,AdaptedMAPullbackStrategy,Daily,77.49亿,79.14,9.05,0.14,0.83,0.96,是,是,否,是,,
002297,博云新材,2025-06-13,AdaptedMAPullbackStrategy,Daily,44.47亿,,2.17,0.50,-0.94,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.9440911107824287).; PE计算失败：年度净利润无效或非正 (-67229800.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.9440911107824287).; PE计算失败：年度净利润无效或非正 (-67229800.0).
