股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
000525,ST红太阳,2025-05-27,RefactoredMultiLevelCrossStrategy,daily,False,18.0535,True,0.0024,0.4574,True,0.3947,True,
000722,湖南发展,2025-05-27,AdaptedMAPullbackStrategy,Daily,True,93.8044,False,-0.3420,-0.8352,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000767,晋控电力,2025-05-27,AdaptedMAPullbackStrategy,Daily,False,273.6964,False,-0.1323,1.1195,False,2.4447,False,
000790,华神科技,2025-05-27,ChanBreakoutStrategyV8,Daily,False,,,-0.2905,-7.4007,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-7.400736906746205).; PE计算失败：年度净利润无效或非正 (-6690200.0).
000881,中广核技,2025-05-27,ChanBreakoutStrategyV8,Daily,False,,,-0.1901,0.0020,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-362000000.0).
000966,长源电力,2025-05-27,AdaptedMAPullbackStrategy,Daily,False,19.8774,True,-0.2116,-1.2943,False,,,PEG近似值计算失败：利润增长率无效或非正 (-1.2942668).
001255,博菲电气,2025-05-27,AdaptedMAPullbackStrategy,Daily,True,45.0232,False,0.3097,4.5538,True,0.0989,True,
001316,润贝航科,2025-05-27,AdaptedMAPullbackStrategy,Daily,True,13.2085,True,0.2143,0.6791,True,0.1945,True,
001328,登康口腔,2025-05-27,AdaptedMAPullbackStrategy,Daily,True,13.2741,True,0.1911,0.1564,True,0.8487,True,
002009,天奇股份,2025-05-27,AdaptedMAPullbackStrategy,Daily,False,,,-0.0431,17.0145,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-254999999.99999997).
002074,国轩高科,2025-05-27,ChanBreakoutStrategyV8,Daily,True,37.0889,False,0.2060,0.4608,True,0.8048,True,
002094,青岛金王,2025-05-27,AdaptedMAPullbackStrategy,Daily,False,176.9621,False,-0.0242,-0.0523,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.05229013430536571).
002121,科陆电子,2025-05-27,ChanBreakoutStrategyV8,Daily,False,,,0.1628,8.5744,True,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-463999999.99999994).
002144,宏达高科,2025-05-27,AdaptedMAPullbackStrategy,Daily,True,57.1725,False,0.0165,-0.0173,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).
002217,*ST合泰,2025-05-27,RefactoredMultiLevelCrossStrategy,daily,False,8.1226,True,0.0861,1.0106,True,0.0804,True,
002224,三 力 士,2025-05-27,ChanBreakoutStrategyV8,Daily,True,117.6550,False,0.3529,2.5654,True,0.4586,True,
002258,利尔化学,2025-05-27,ChanBreakoutStrategyV8,Daily,True,43.0248,False,0.4996,2.1980,True,0.1957,True,
002284,亚太股份,2025-05-27,AdaptedMAPullbackStrategy,Daily,True,39.8481,False,0.2309,0.6504,True,0.6127,True,
002297,博云新材,2025-05-27,AdaptedMAPullbackStrategy,Daily,False,,,0.5000,-0.9441,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.9440911107824287).; PE计算失败：年度净利润无效或非正 (-67229800.0).
002312,川发龙蟒,2025-05-27,RefactoredMultiLevelCrossStrategy,daily,True,38.3804,False,0.2464,-0.0096,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.009615384615384616).
002338,奥普光电,2025-05-27,AdaptedMAPullbackStrategy,Daily,True,158.0083,False,-0.0349,-0.1931,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.19310501936365695).
002379,宏创控股,2025-05-27,AdaptedMAPullbackStrategy,Daily,False,,,-0.0481,-1.5960,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.5960227378276461).; PE计算失败：年度净利润无效或非正 (-68981800.0).
002383,合众思壮,2025-05-27,AdaptedMAPullbackStrategy,Daily,False,,,0.2509,1.0807,True,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-222000000.00000003).
