股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
000532,华金资本,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,True,33.3132,False,0.1415,-0.6608,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.6608183486238532).
000555,神州信息,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,False,,,0.2217,-0.6463,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.6462575876465058).; PE计算失败：年度净利润无效或非正 (-524000000.0).
000559,万向钱潮,2025-05-29,AdaptedMAPullbackStrategy,Daily,True,27.6040,True,0.2739,0.0502,True,5.5011,False,
000576,甘化科工,2025-05-29,AdaptedMAPullbackStrategy,Daily,False,172.9907,False,0.2376,-0.4725,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).
000607,华媒控股,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,False,,,-0.2852,-2.6397,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-2.639691770305543).; PE计算失败：年度净利润无效或非正 (-8317300.0).
000607,华媒控股,2025-05-29,ChanBreakoutStrategyV8,Daily,False,,,-0.2852,-2.6397,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-2.639691770305543).; PE计算失败：年度净利润无效或非正 (-8317300.0).
000637,茂化实华,2025-05-29,AdaptedMAPullbackStrategy,Daily,False,,,-0.3400,0.2028,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000652,泰达股份,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,True,52.1045,False,-0.0717,0.0057,False,91.7791,False,
000680,山推股份,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,True,10.7686,True,0.0287,0.1375,True,0.7832,True,
000722,湖南发展,2025-05-29,AdaptedMAPullbackStrategy,Daily,True,88.2153,False,-0.3420,-0.8352,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000728,国元证券,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,True,14.7861,True,0.3834,0.3844,True,0.3846,True,
000738,航发控制,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,True,34.0360,False,-0.0466,-0.4346,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.4346153846153846).
000767,晋控电力,2025-05-29,AdaptedMAPullbackStrategy,Daily,False,271.1760,False,-0.1323,1.1195,False,2.4222,False,
000829,天音控股,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,False,331.7374,False,-0.1440,-2.7903,False,,,PEG近似值计算失败：利润增长率无效或非正 (-2.7902930172998217).
000868,安凯客车,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,False,516.3368,False,0.1483,-0.0994,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.09944569226647984).
000948,南天信息,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,False,64.7333,False,0.0168,-2.2898,False,,,PEG近似值计算失败：利润增长率无效或非正 (-2.2897908736929606).
001255,博菲电气,2025-05-29,AdaptedMAPullbackStrategy,Daily,True,47.3010,False,0.3097,4.5538,True,0.1039,True,
001316,润贝航科,2025-05-29,AdaptedMAPullbackStrategy,Daily,True,13.0047,True,0.2143,0.6791,True,0.1915,True,
001328,登康口腔,2025-05-29,AdaptedMAPullbackStrategy,Daily,True,13.0361,True,0.1911,0.1564,True,0.8335,True,
002009,天奇股份,2025-05-29,AdaptedMAPullbackStrategy,Daily,False,,,-0.0431,17.0145,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-254999999.99999997).
002078,太阳纸业,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,True,12.7941,True,-0.0282,-0.0732,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.07322175732217573).
002144,宏达高科,2025-05-29,AdaptedMAPullbackStrategy,Daily,True,57.0908,False,0.0165,-0.0173,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).
002152,广电运通,2025-05-29,RefactoredMultiLevelCrossStrategy,daily,True,33.4331,False,0.0718,-0.0243,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.02429149797570862).
002168,*ST惠程,2025-05-29,ChanBreakoutStrategyV8,Daily,False,,,0.9446,0.5523,True,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-150000000.0).
002200,*ST交投,2025-05-29,AdaptedMAPullbackStrategy,Daily,False,,,-0.2808,-1.3126,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.3126063769431522).; PE计算失败：年度净利润无效或非正 (-87732500.0).
002224,三 力 士,2025-05-29,ChanBreakoutStrategyV8,Daily,True,121.0529,False,0.3529,2.5654,True,0.4719,True,
002250,联化科技,2025-05-29,ChanBreakoutStrategyV8,Daily,False,73.5748,False,0.0300,17.4706,True,0.0421,True,
002256,兆新股份,2025-05-29,ChanBreakoutStrategyV8,Daily,False,,,0.0335,0.5334,True,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-143000000.0).
