股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
000151,中成股份,2025-05-28,ChanBreakoutStrategyV8,Daily,False,,,-0.4736,0.2630,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-306000000.0).
000531,穗恒运Ａ,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,False,34.7558,False,-0.0778,2.1036,False,0.1652,True,
000559,万向钱潮,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,27.6318,True,0.2739,0.0502,True,5.5066,False,
000576,甘化科工,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,171.3519,False,0.2376,-0.4725,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).
000637,茂化实华,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,-0.3400,0.2028,False,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000639,西王食品,2025-05-28,ChanBreakoutStrategyV8,Daily,False,,,-0.1988,-0.8522,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.852211973502329).; PE计算失败：年度净利润无效或非正 (-444000000.00000006).
000722,湖南发展,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,89.1860,False,-0.3420,-0.8352,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000767,晋控电力,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,268.5514,False,-0.1323,1.1195,False,2.3988,False,
000852,石化机械,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,True,61.2135,False,-0.0783,-0.7690,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.7689781627636789).
000966,长源电力,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,19.2946,True,-0.2116,-1.2943,False,,,PEG近似值计算失败：利润增长率无效或非正 (-1.2942668).
001229,魅视科技,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,True,11.6685,True,-0.0163,-0.5923,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.5922693006452691).
001316,润贝航科,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,12.9965,True,0.2143,0.6791,True,0.1914,True,
001328,登康口腔,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,13.0731,True,0.1911,0.1564,True,0.8358,True,
002034,旺能环境,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,True,13.4867,True,0.1120,0.1105,True,1.2205,False,
002144,宏达高科,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,57.3347,False,0.0165,-0.0173,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).
002195,岩山科技,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,True,975.8221,False,-0.0517,-0.5968,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.5968006541793371).
002200,*ST交投,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,-0.2808,-1.3126,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.3126063769431522).; PE计算失败：年度净利润无效或非正 (-87732500.0).
002255,海陆重工,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,16.5312,True,0.0043,0.6237,True,0.2650,True,
002258,利尔化学,2025-05-28,ChanBreakoutStrategyV8,Daily,True,44.9463,False,0.4996,2.1980,True,0.2045,True,
002264,新 华 都,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,True,16.7838,True,-0.2111,-0.0064,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.006351717130317626).
002284,亚太股份,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,39.7448,False,0.2309,0.6504,True,0.6111,True,
002297,博云新材,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,0.5000,-0.9441,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.9440911107824287).; PE计算失败：年度净利润无效或非正 (-67229800.0).
002338,奥普光电,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,152.9911,False,-0.0349,-0.1931,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.19310501936365695).
002376,新北洋,2025-05-28,ChanBreakoutStrategyV8,Daily,False,117.3344,False,0.2098,1.2715,True,0.9228,True,
002378,章源钨业,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,54.8424,False,0.3570,0.5646,True,0.9713,True,
002379,宏创控股,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,-0.0481,-1.5960,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.5960227378276461).; PE计算失败：年度净利润无效或非正 (-68981800.0).
002383,合众思壮,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,0.2509,1.0807,True,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-222000000.00000003).
002392,北京利尔,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,22.0008,True,0.1053,0.4879,True,0.4510,True,
002437,誉衡药业,2025-05-28,ChanBreakoutStrategyV8,Daily,False,25.5261,True,-0.0708,0.1524,False,1.6746,False,
002534,西子洁能,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,True,19.1984,True,0.0530,-0.7920,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.7920368217054263).
002556,辉隆股份,2025-05-28,ChanBreakoutStrategyV8,Daily,True,33.4769,False,-0.0350,-0.2558,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.2558200000000001).
002564,天沃科技,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,197.5921,False,-0.0412,0.2383,False,8.2917,False,
002592,ST八菱,2025-05-28,ChanBreakoutStrategyV8,Daily,True,23.2144,True,0.1901,1.3902,True,0.1670,True,
002731,萃华珠宝,2025-05-28,ChanBreakoutStrategyV8,Daily,True,13.1139,True,0.0415,0.4278,True,0.3065,True,
002771,真视通,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,False,392.7612,False,-0.3520,-3.3551,False,,,PEG近似值计算失败：利润增长率无效或非正 (-3.3550968891528696).
002819,东方中科,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,-0.0596,-0.2197,False,,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.2197196314430444).; PE计算失败：年度净利润无效或非正 (-209000000.0).
002825,纳尔股份,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,21.7608,True,0.2450,2.0141,True,0.1080,True,
002833,弘亚数控,2025-05-28,RefactoredMultiLevelCrossStrategy,daily,True,9.7181,True,-0.0522,-0.0704,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.07042253521126761).
002836,新宏泽,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,32.6930,False,0.4900,0.5117,True,0.6389,True,
002842,翔鹭钨业,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,0.0411,1.4004,True,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-89502700.0).
002847,盐津铺子,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,33.5732,False,0.2567,0.1125,True,2.9843,False,
002860,星帅尔,2025-05-28,AdaptedMAPullbackStrategy,Daily,True,29.7767,True,0.0841,0.2173,True,1.3702,False,
002867,周大生,2025-05-28,ChanBreakoutStrategyV8,Daily,True,17.6216,True,-0.4728,-0.2610,False,,,PEG近似值计算失败：利润增长率无效或非正 (-0.26099706744868034).
002909,集泰股份,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,123.5634,False,0.0746,0.4596,True,2.6886,False,
002915,中欣氟材,2025-05-28,AdaptedMAPullbackStrategy,Daily,False,,,0.1195,0.2200,True,,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-186000000.0).
