symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
000420,吉林化纤,2025-06-03,AdaptedMAPullbackStrategy,Daily,101.80亿,367.33,2.31,0.32,-0.61,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).; PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).
000559,万向钱潮,2025-06-03,AdaptedMAPullbackStrategy,Daily,257.03亿,27.03,2.72,0.27,0.05,5.39,是,是,是,否,,
000565,渝三峡Ａ,2025-06-03,AdaptedMAPullbackStrategy,Daily,41.71亿,955.18,3.35,0.07,-0.53,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).; PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).
000576,甘化科工,2025-06-03,AdaptedMAPullbackStrategy,Daily,36.75亿,179.12,2.27,0.24,-0.47,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).; PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).
000625,长安汽车,2025-06-03,RefactoredMultiLevelCrossStrategy,Daily,1248.18亿,17.05,1.60,-0.08,0.17,1.01,是,否,是,否,,
000637,茂化实华,2025-06-03,AdaptedMAPullbackStrategy,Daily,19.81亿,,3.23,-0.34,0.20,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000720,新能泰山,2025-06-03,AdaptedMAPullbackStrategy,Daily,42.72亿,,1.80,0.75,2.44,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).
000722,湖南发展,2025-06-03,AdaptedMAPullbackStrategy,Daily,61.73亿,91.05,1.99,-0.34,-0.84,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).; PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000859,国风新材,2025-06-03,AdaptedMAPullbackStrategy,Daily,67.65亿,,2.44,-0.01,0.02,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).
001202,炬申股份,2025-06-03,RefactoredMultiLevelCrossStrategy,Daily,21.20亿,25.99,2.79,0.23,-0.47,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.4693298672461531).; PEG近似值计算失败：利润增长率无效或非正 (-0.4693298672461531).
001238,浙江正特,2025-06-03,AdaptedMAPullbackStrategy,Daily,40.29亿,,3.65,0.42,0.91,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-13981000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-13981000.0).
001255,博菲电气,2025-06-03,AdaptedMAPullbackStrategy,Daily,23.58亿,178.16,3.24,0.31,4.55,0.39,是,是,否,是,,
001268,联合精密,2025-06-03,RefactoredMultiLevelCrossStrategy,Daily,25.61亿,35.84,2.48,0.29,0.20,1.79,是,是,否,否,,
001270,*ST铖昌,2025-06-03,RefactoredMultiLevelCrossStrategy,Daily,75.55亿,,5.39,3.65,3.00,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-31117900.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-31117900.0).
001328,登康口腔,2025-06-03,AdaptedMAPullbackStrategy,Daily,87.40亿,54.28,5.83,0.19,0.16,3.47,是,是,否,否,,
002023,海特高新,2025-06-03,ChanBreakoutStrategyV8,Daily,81.64亿,115.18,1.90,0.14,-0.27,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.2688533378915962).; PEG近似值计算失败：利润增长率无效或非正 (-0.2688533378915962).
002052,*ST同洲,2025-06-03,AdaptedMAPullbackStrategy,Daily,71.61亿,102.88,33.62,6.64,31.33,0.03,否,是,否,是,,
002082,万邦德,2025-06-03,ChanBreakoutStrategyV8,Daily,42.15亿,76.02,1.57,-0.27,-0.47,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.47286440002080554).; PEG近似值计算失败：利润增长率无效或非正 (-0.47286440002080554).
002136,安 纳 达,2025-06-03,AdaptedMAPullbackStrategy,Daily,23.57亿,209.36,2.02,0.01,-1.55,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-1.554041647765321).; PEG近似值计算失败：利润增长率无效或非正 (-1.554041647765321).
002144,宏达高科,2025-06-03,AdaptedMAPullbackStrategy,Daily,20.52亿,73.44,0.99,0.02,-0.02,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).; PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).
002168,*ST惠程,2025-06-03,ChanBreakoutStrategyV8,Daily,26.82亿,,,0.94,0.55,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-150000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-150000000.0).
002200,*ST交投,2025-06-03,AdaptedMAPullbackStrategy,Daily,15.50亿,,,-0.28,-1.31,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.3126063769431522).; PE计算失败：年度净利润无效或非正 (-87732500.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.3126063769431522).; PE计算失败：年度净利润无效或非正 (-87732500.0).
002230,科大讯飞,2025-06-03,RefactoredMultiLevelCrossStrategy,Daily,1106.84亿,197.65,6.19,0.28,0.36,5.54,否,是,否,否,,
002255,海陆重工,2025-06-03,AdaptedMAPullbackStrategy,Daily,81.59亿,21.64,2.00,0.00,0.62,0.35,是,是,是,是,,
002284,亚太股份,2025-06-03,AdaptedMAPullbackStrategy,Daily,83.22亿,39.07,2.76,0.23,0.65,0.60,是,是,否,是,,
002290,禾盛新材,2025-06-03,AdaptedMAPullbackStrategy,Daily,76.89亿,78.53,8.98,0.14,0.83,0.95,是,是,否,是,,
