symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
000420,吉林化纤,2025-06-09,AdaptedMAPullbackStrategy,Daily,102.53亿,369.99,2.33,0.32,-0.61,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).; PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).
000532,华金资本,2025-06-09,ChanBreakoutStrategyV8,Daily,55.95亿,35.63,3.68,0.14,-0.66,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.6608183486238532).; PEG近似值计算失败：利润增长率无效或非正 (-0.6608183486238532).
000539,粤电力Ａ,2025-06-09,AdaptedMAPullbackStrategy,Daily,251.49亿,26.09,1.11,-0.17,-4.04,,否,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-4.0396825396825395).; PEG近似值计算失败：利润增长率无效或非正 (-4.0396825396825395).
000565,渝三峡Ａ,2025-06-09,AdaptedMAPullbackStrategy,Daily,43.14亿,987.94,3.47,0.07,-0.53,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).; PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).
000576,甘化科工,2025-06-09,AdaptedMAPullbackStrategy,Daily,38.84亿,189.33,2.40,0.24,-0.47,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).; PEG近似值计算失败：利润增长率无效或非正 (-0.4724963820549928).
000607,华媒控股,2025-06-09,ChanBreakoutStrategyV8,Daily,42.54亿,,2.71,-0.29,-2.64,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-2.639691770305543).; PE计算失败：年度净利润无效或非正 (-8317300.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-2.639691770305543).; PE计算失败：年度净利润无效或非正 (-8317300.0).
000633,合金投资,2025-06-09,AdaptedMAPullbackStrategy,Daily,23.72亿,203.14,12.42,0.94,0.28,7.30,是,是,否,否,,
000637,茂化实华,2025-06-09,AdaptedMAPullbackStrategy,Daily,20.38亿,,3.32,-0.34,0.20,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000677,恒天海龙,2025-06-09,AdaptedMAPullbackStrategy,Daily,47.09亿,107.31,9.09,-0.05,0.25,4.33,是,否,否,否,,
000720,新能泰山,2025-06-09,AdaptedMAPullbackStrategy,Daily,43.98亿,,1.85,0.75,2.44,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).
