股票代码,股票简称,信号日期,信号来源,信号级别,net_profit_positive_3y_latest,pe,pe_lt_30,revenue_growth_yoy,profit_growth_yoy,growth_positive,peg_like_ratio,peg_like_lt_1,error_reason
000062,深圳华强,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,128.7061,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000409,云鼎科技,2025-05-26,RefactoredMultiLevelCrossStrategy,daily,True,52.0185,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000545,金浦钛业,2025-05-26,ChanBreakoutStrategyV8,Daily,False,,,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PE not calculated: Invalid or non-positive annual profit for PE (-244000000.0).; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000637,茂化实华,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,,,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PE not calculated: Invalid or non-positive annual profit for PE (-83383100.0).; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000681,视觉中国,2025-05-26,RefactoredMultiLevelCrossStrategy,daily,True,118.7058,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000767,晋控电力,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,275.8331,False,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000777,中核科技,2025-05-26,ChanBreakoutStrategyV8,Daily,True,33.3292,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
000966,长源电力,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,19.7456,True,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
001255,博菲电气,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,45.2954,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
001316,润贝航科,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,13.2181,True,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
001328,登康口腔,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,12.9817,True,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
001389,广合科技,2025-05-26,RefactoredMultiLevelCrossStrategy,daily,True,10.9593,True,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002009,天奇股份,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,,,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PE not calculated: Invalid or non-positive annual profit for PE (-254999999.99999997).; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002017,东信和平,2025-05-26,RefactoredMultiLevelCrossStrategy,daily,True,30.9123,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002144,宏达高科,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,56.7120,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002194,武汉凡谷,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,141.3726,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002251,步步高,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,6.8964,True,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002255,海陆重工,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,16.7729,True,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002297,博云新材,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,,,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PE not calculated: Invalid or non-positive annual profit for PE (-67229800.0).; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002317,众生药业,2025-05-26,ChanBreakoutStrategyV8,Daily,False,,,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PE not calculated: Invalid or non-positive annual profit for PE (-299000000.0).; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002338,奥普光电,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,157.4643,False,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002376,新北洋,2025-05-26,ChanBreakoutStrategyV8,Daily,False,116.8169,False,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002383,合众思壮,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,,,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PE not calculated: Invalid or non-positive annual profit for PE (-222000000.00000003).; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002392,北京利尔,2025-05-26,AdaptedMAPullbackStrategy,Daily,True,21.9498,True,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002413,雷科防务,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,,,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PE not calculated: Invalid or non-positive annual profit for PE (-396000000.0).; PEG-like not calc: PE is NaN.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002533,金杯电工,2025-05-26,RefactoredMultiLevelCrossStrategy,daily,True,11.5884,True,,,,,,PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
002564,天沃科技,2025-05-26,AdaptedMAPullbackStrategy,Daily,False,199.8588,False,,,,,,3Y Profit: Not all checked recent/annual profits were positive.; PEG-like not calc: Profit growth invalid or not positive for PEG (nan).; YoY growths not calc: Missing current period or previous year's same period report.
