symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
000026,飞亚达,2025-06-06,AdaptedMAPullbackStrategy,Daily,52.51亿,23.87,1.52,-0.13,-0.40,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.3999080783744442).; PEG近似值计算失败：利润增长率无效或非正 (-0.3999080783744442).
000030,富奥股份,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,108.16亿,16.00,1.33,-0.04,0.00,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (0.0).; PEG近似值计算失败：利润增长率无效或非正 (0.0).
000036,华联控股,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,55.35亿,136.63,1.09,0.04,-0.72,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.7193477026683112).; PEG近似值计算失败：利润增长率无效或非正 (-0.7193477026683112).
000420,吉林化纤,2025-06-06,AdaptedMAPullbackStrategy,Daily,101.31亿,365.55,2.30,0.32,-0.61,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).; PEG近似值计算失败：利润增长率无效或非正 (-0.605892220591319).
000539,粤电力Ａ,2025-06-06,AdaptedMAPullbackStrategy,Daily,248.86亿,25.82,1.10,-0.17,-4.04,,否,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-4.0396825396825395).; PEG近似值计算失败：利润增长率无效或非正 (-4.0396825396825395).
000565,渝三峡Ａ,2025-06-06,AdaptedMAPullbackStrategy,Daily,41.97亿,961.13,3.37,0.07,-0.53,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).; PEG近似值计算失败：利润增长率无效或非正 (-0.5316221930787143).
000603,盛达资源,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,106.26亿,27.24,3.50,0.34,1.94,0.14,是,是,是,是,,
000633,合金投资,2025-06-06,AdaptedMAPullbackStrategy,Daily,23.57亿,201.82,12.34,0.94,0.28,7.26,是,是,否,否,,
000637,茂化实华,2025-06-06,AdaptedMAPullbackStrategy,Daily,20.43亿,,3.33,-0.34,0.20,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-83383100.0).
000677,恒天海龙,2025-06-06,AdaptedMAPullbackStrategy,Daily,46.14亿,105.14,8.91,-0.05,0.25,4.24,是,否,否,否,,
000720,新能泰山,2025-06-06,AdaptedMAPullbackStrategy,Daily,43.10亿,,1.81,0.75,2.44,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-132000000.0).
000722,湖南发展,2025-06-06,AdaptedMAPullbackStrategy,Daily,66.51亿,98.10,2.14,-0.34,-0.84,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).; PEG近似值计算失败：利润增长率无效或非正 (-0.8351935029290393).
000810,创维数字,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,135.16亿,53.85,2.13,-0.21,-0.95,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.9497415094339623).; PEG近似值计算失败：利润增长率无效或非正 (-0.9497415094339623).
000859,国风新材,2025-06-06,AdaptedMAPullbackStrategy,Daily,67.92亿,,2.45,-0.01,0.02,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-69722500.0).
000967,盈峰环境,2025-06-06,AdaptedMAPullbackStrategy,Daily,224.85亿,43.75,1.27,0.06,0.05,8.36,是,是,否,否,,
001206,依依股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,39.22亿,18.24,2.08,0.26,0.28,0.65,是,是,是,是,,
001255,博菲电气,2025-06-06,AdaptedMAPullbackStrategy,Daily,24.81亿,187.40,3.41,0.31,4.55,0.41,是,是,否,是,,
001296,长江材料,2025-06-06,ChanBreakoutStrategyV8,Daily,27.08亿,22.38,1.57,0.20,0.18,1.24,是,是,是,否,,
001358,兴欣新材,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,29.77亿,36.68,2.04,-0.02,-0.21,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.2142237913640304).; PEG近似值计算失败：利润增长率无效或非正 (-0.2142237913640304).
001389,广合科技,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,226.65亿,33.53,6.81,0.42,0.66,0.51,是,是,否,是,,
002103,广博股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,56.47亿,37.15,5.23,0.10,0.31,1.19,否,是,否,否,,
002136,安 纳 达,2025-06-06,AdaptedMAPullbackStrategy,Daily,23.16亿,205.73,1.99,0.01,-1.55,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-1.554041647765321).; PEG近似值计算失败：利润增长率无效或非正 (-1.554041647765321).
002144,宏达高科,2025-06-06,AdaptedMAPullbackStrategy,Daily,20.70亿,74.07,1.00,0.02,-0.02,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).; PEG近似值计算失败：利润增长率无效或非正 (-0.017272722187728982).
002200,*ST交投,2025-06-06,AdaptedMAPullbackStrategy,Daily,14.40亿,,,-0.28,-1.31,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.3126063769431522).; PE计算失败：年度净利润无效或非正 (-87732500.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-1.3126063769431522).; PE计算失败：年度净利润无效或非正 (-87732500.0).
002213,大为股份,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,39.13亿,,6.91,0.05,0.32,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-48407000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-48407000.0).
002255,海陆重工,2025-06-06,AdaptedMAPullbackStrategy,Daily,78.02亿,20.69,1.91,0.00,0.62,0.33,是,是,是,是,,
