symbol,stock_name,signal_date,strategy_name,signal_level,market_cap_formatted,pe,pb,revenue_growth_yoy,profit_growth_yoy,peg_like_ratio,net_profit_positive_3y_latest,growth_positive,pe_lt_30,peg_like_lt_1,tech_notes,error_reason
002277,友阿股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,83.93亿,299.63,1.25,-0.14,-0.35,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.3548400733448529).; PEG近似值计算失败：利润增长率无效或非正 (-0.3548400733448529).
002297,博云新材,2025-06-06,AdaptedMAPullbackStrategy,Daily,42.52亿,,2.07,0.50,-0.94,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.9440911107824287).; PE计算失败：年度净利润无效或非正 (-67229800.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.9440911107824287).; PE计算失败：年度净利润无效或非正 (-67229800.0).
002317,众生药业,2025-06-06,ChanBreakoutStrategyV8,Daily,118.54亿,,2.97,-0.01,0.61,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-299000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-299000000.0).
002326,永太科技,2025-06-06,ChanBreakoutStrategyV8,Daily,126.32亿,,4.66,0.29,-0.46,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.45771983430399477).; PE计算失败：年度净利润无效或非正 (-478000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.45771983430399477).; PE计算失败：年度净利润无效或非正 (-478000000.0).
002331,皖通科技,2025-06-06,AdaptedMAPullbackStrategy,Daily,34.12亿,92.42,2.00,-0.11,-0.83,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.827715619355898).; PEG近似值计算失败：利润增长率无效或非正 (-0.827715619355898).
002338,奥普光电,2025-06-06,AdaptedMAPullbackStrategy,Daily,104.88亿,157.90,7.83,-0.03,-0.19,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.19310501936365695).; PEG近似值计算失败：利润增长率无效或非正 (-0.19310501936365695).
002339,积成电子,2025-06-06,ChanBreakoutStrategyV8,Daily,38.66亿,122.35,2.21,0.47,0.24,5.01,否,是,否,否,,
002383,合众思壮,2025-06-06,AdaptedMAPullbackStrategy,Daily,70.48亿,,4.21,0.25,1.08,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-222000000.00000003).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-222000000.00000003).
002391,长青股份,2025-06-06,ChanBreakoutStrategyV8,Daily,40.21亿,,0.95,0.07,1.11,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-120000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-120000000.0).
002392,北京利尔,2025-06-06,AdaptedMAPullbackStrategy,Daily,73.81亿,23.14,1.35,0.11,0.49,0.47,是,是,是,是,,
002407,多氟多,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,140.35亿,,1.65,-0.02,0.69,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-308000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-308000000.0).
002413,雷科防务,2025-06-06,AdaptedMAPullbackStrategy,Daily,65.59亿,,1.93,-0.10,-0.18,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.17545248760428206).; PE计算失败：年度净利润无效或非正 (-396000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.17545248760428206).; PE计算失败：年度净利润无效或非正 (-396000000.0).
002489,浙江永强,2025-06-06,AdaptedMAPullbackStrategy,Daily,82.42亿,17.84,1.85,0.12,0.45,0.40,是,是,是,是,,
002510,天汽模,2025-06-06,AdaptedMAPullbackStrategy,Daily,67.61亿,70.98,2.71,-0.01,-0.14,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.14404089830802674).; PEG近似值计算失败：利润增长率无效或非正 (-0.14404089830802674).
002512,达华智能,2025-06-06,AdaptedMAPullbackStrategy,Daily,56.32亿,233.07,12.09,-0.22,-8.11,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-8.114873149108742).; PEG近似值计算失败：利润增长率无效或非正 (-8.114873149108742).
002551,尚荣医疗,2025-06-06,AdaptedMAPullbackStrategy,Daily,32.13亿,144.19,1.21,0.01,0.01,248.07,否,是,否,否,,
002560,通达股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,39.11亿,153.44,1.53,0.39,0.10,15.55,是,是,否,否,,
002564,天沃科技,2025-06-06,AdaptedMAPullbackStrategy,Daily,48.96亿,203.66,31.18,-0.04,0.24,8.55,否,否,否,否,,
002584,西陇科学,2025-06-06,AdaptedMAPullbackStrategy,Daily,57.94亿,93.79,2.51,-0.11,0.23,4.15,是,否,否,否,,
002590,万安科技,2025-06-06,AdaptedMAPullbackStrategy,Daily,71.89亿,34.07,2.46,0.15,0.47,0.73,是,是,否,是,,
002596,海南瑞泽,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,42.80亿,,5.84,-0.20,-0.02,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.020016715926159327).; PE计算失败：年度净利润无效或非正 (-242000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.020016715926159327).; PE计算失败：年度净利润无效或非正 (-242000000.0).
002598,山东章鼓,2025-06-06,AdaptedMAPullbackStrategy,Daily,33.61亿,46.98,2.59,0.03,-0.30,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.29841556411845543).; PEG近似值计算失败：利润增长率无效或非正 (-0.29841556411845543).
002626,金达威,2025-06-06,AdaptedMAPullbackStrategy,Daily,110.52亿,32.32,2.52,0.11,0.72,0.45,是,是,否,是,,
002640,跨境通,2025-06-06,AdaptedMAPullbackStrategy,Daily,71.20亿,,8.33,-0.02,0.78,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-479000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-479000000.0).
002650,ST加加,2025-06-06,AdaptedMAPullbackStrategy,Daily,82.14亿,,4.35,-0.14,1.30,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-243000000.00000003).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-243000000.00000003).
002651,利君股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,114.20亿,95.16,4.04,-0.15,-0.18,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.17802986005535415).; PEG近似值计算失败：利润增长率无效或非正 (-0.17802986005535415).
002669,康达新材,2025-06-06,ChanBreakoutStrategyV8,Daily,36.04亿,,1.32,0.64,1.26,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-246000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-246000000.0).
002727,一心堂,2025-06-06,AdaptedMAPullbackStrategy,Daily,94.69亿,83.06,1.26,-0.07,-0.34,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.33884297520661155).; PEG近似值计算失败：利润增长率无效或非正 (-0.33884297520661155).
002741,光华科技,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,79.75亿,,4.29,0.15,5.64,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-204999999.99999997).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-204999999.99999997).
002743,富煌钢构,2025-06-06,AdaptedMAPullbackStrategy,Daily,31.95亿,62.19,0.99,0.02,0.04,15.39,是,是,否,否,,
002763,汇洁股份,2025-06-06,ChanBreakoutStrategyV8,Daily,29.56亿,37.39,1.47,0.01,-0.20,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.19574677338188834).; PEG近似值计算失败：利润增长率无效或非正 (-0.19574677338188834).
002785,万里石,2025-06-06,ChanBreakoutStrategyV8,Daily,71.97亿,,8.08,-0.06,-0.38,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.37819142824313456).; PE计算失败：年度净利润无效或非正 (-54441000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.37819142824313456).; PE计算失败：年度净利润无效或非正 (-54441000.0).
002811,郑中设计,2025-06-06,AdaptedMAPullbackStrategy,Daily,33.26亿,34.86,2.51,0.19,-0.40,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.40252933526258394).; PEG近似值计算失败：利润增长率无效或非正 (-0.40252933526258394).
002836,新宏泽,2025-06-06,AdaptedMAPullbackStrategy,Daily,21.34亿,34.14,5.50,0.49,0.51,0.67,是,是,否,是,,
002956,西麦食品,2025-06-06,AdaptedMAPullbackStrategy,Daily,48.47亿,36.44,3.09,0.16,0.21,1.72,是,是,否,否,,
002963,豪尔赛,2025-06-06,AdaptedMAPullbackStrategy,Daily,18.25亿,,1.38,-0.60,-5.18,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.178185684705355).; PE计算失败：年度净利润无效或非正 (-179000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.178185684705355).; PE计算失败：年度净利润无效或非正 (-179000000.0).
002968,新大正,2025-06-06,AdaptedMAPullbackStrategy,Daily,23.85亿,20.92,1.92,-0.14,-0.14,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.14161726490173787).; PEG近似值计算失败：利润增长率无效或非正 (-0.14161726490173787).
003009,中天火箭,2025-06-06,ChanBreakoutStrategyV8,Daily,68.51亿,350.16,4.26,-0.59,-3.25,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-3.252854182487483).; PEG近似值计算失败：利润增长率无效或非正 (-3.252854182487483).
300022,吉峰科技,2025-06-06,AdaptedMAPullbackStrategy,Daily,40.73亿,,7.51,0.11,0.66,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-30812800.000000004).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-30812800.000000004).
300032,金龙机电,2025-06-06,AdaptedMAPullbackStrategy,Daily,41.04亿,,6.05,0.26,2.86,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-121000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-121000000.0).
300047,天源迪科,2025-06-06,AdaptedMAPullbackStrategy,Daily,93.75亿,404.04,2.86,0.43,0.45,8.92,是,是,否,否,,
300069,金利华电,2025-06-06,AdaptedMAPullbackStrategy,Daily,23.20亿,72.35,8.47,0.20,0.81,0.89,否,是,否,是,,
300132,青松股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,32.23亿,58.95,2.48,0.10,1.32,0.45,否,是,否,是,,
300209,有棵树,2025-06-06,AdaptedMAPullbackStrategy,Daily,50.98亿,89.82,5.52,-0.81,1.06,0.85,否,否,否,是,,
300221,银禧科技,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,42.87亿,83.33,3.14,0.30,6.88,0.12,否,是,否,是,,
300261,雅本化学,2025-06-06,AdaptedMAPullbackStrategy,Daily,72.92亿,,3.66,0.44,0.72,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-258000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-258000000.0).
300267,尔康制药,2025-06-06,AdaptedMAPullbackStrategy,Daily,66.21亿,,1.48,0.28,8.69,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-373000000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-373000000.0).
300322,硕贝德,2025-06-06,AdaptedMAPullbackStrategy,Daily,67.55亿,,6.88,0.42,2.76,,否,是,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-64459000.0).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-64459000.0).
300374,中铁装配,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,38.93亿,,4.66,-0.18,0.05,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-63716899.99999999).; PEG近似值计算失败：PE 是 NaN.; PE计算失败：年度净利润无效或非正 (-63716899.99999999).
300570,太辰光,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,201.92亿,77.36,12.36,0.66,1.50,0.52,是,是,否,是,,
300581,晨曦航空,2025-06-06,AdaptedMAPullbackStrategy,Daily,76.36亿,,7.76,1.49,-0.01,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.01010852383672289).; PE计算失败：年度净利润无效或非正 (-26585100.000000004).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.01010852383672289).; PE计算失败：年度净利润无效或非正 (-26585100.000000004).
300617,安靠智电,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,50.39亿,27.54,1.72,-0.36,-0.29,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.2891870886339395).; PEG近似值计算失败：利润增长率无效或非正 (-0.2891870886339395).
300631,久吾高科,2025-06-06,AdaptedMAPullbackStrategy,Daily,28.11亿,53.02,2.21,0.07,0.26,2.04,是,是,否,否,,
300673,佩蒂股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,41.83亿,22.98,2.13,-0.14,-0.47,,否,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.46708029564562803).; PEG近似值计算失败：利润增长率无效或非正 (-0.46708029564562803).
300755,华致酒行,2025-06-06,AdaptedMAPullbackStrategy,Daily,85.11亿,191.49,2.63,-0.31,-0.34,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.3431192307692308).; PEG近似值计算失败：利润增长率无效或非正 (-0.3431192307692308).
300824,北鼎股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,41.58亿,59.81,5.63,0.34,0.48,1.25,是,是,否,否,,
300858,科拓生物,2025-06-06,AdaptedMAPullbackStrategy,Daily,41.37亿,43.84,2.28,0.31,0.10,4.48,是,是,否,否,,
300867,圣元环保,2025-06-06,AdaptedMAPullbackStrategy,Daily,50.35亿,27.67,1.35,-0.02,0.43,0.64,是,否,是,是,,
300884,狄耐克,2025-06-06,AdaptedMAPullbackStrategy,Daily,31.28亿,,2.47,-0.10,-3.52,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-3.516665119301829).; PE计算失败：年度净利润无效或非正 (-12887600.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-3.516665119301829).; PE计算失败：年度净利润无效或非正 (-12887600.0).
300923,研奥股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,19.27亿,45.51,1.67,0.22,0.17,2.64,是,是,否,否,,
300927,江天化学,2025-06-06,AdaptedMAPullbackStrategy,Daily,48.53亿,16.29,5.03,1.05,-0.93,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.9342123235391006).; PEG近似值计算失败：利润增长率无效或非正 (-0.9342123235391006).
300947,德必集团,2025-06-06,AdaptedMAPullbackStrategy,Daily,31.89亿,93.39,2.51,-0.04,-0.77,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.772677867850188).; PEG近似值计算失败：利润增长率无效或非正 (-0.772677867850188).
300955,嘉亨家化,2025-06-06,AdaptedMAPullbackStrategy,Daily,18.73亿,,2.05,0.08,-5.84,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.842331204066213).; PE计算失败：年度净利润无效或非正 (-23697000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-5.842331204066213).; PE计算失败：年度净利润无效或非正 (-23697000.0).
300973,立高食品,2025-06-06,AdaptedMAPullbackStrategy,Daily,84.67亿,31.59,3.23,0.14,0.15,2.09,是,是,否,否,,
301003,江苏博云,2025-06-06,AdaptedMAPullbackStrategy,Daily,28.87亿,20.48,2.34,0.05,-0.03,,是,否,是,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.024952416744456703).; PEG近似值计算失败：利润增长率无效或非正 (-0.024952416744456703).
301057,汇隆新材,2025-06-06,AdaptedMAPullbackStrategy,Daily,19.46亿,62.94,2.54,0.24,0.45,1.41,是,是,否,否,,
301066,万事利,2025-06-06,AdaptedMAPullbackStrategy,Daily,31.05亿,88.43,4.49,0.09,-0.13,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.1294521331350795).; PEG近似值计算失败：利润增长率无效或非正 (-0.1294521331350795).
301088,戎美股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,33.05亿,30.88,1.28,-0.17,-0.22,,是,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.22321497253803904).; PEG近似值计算失败：利润增长率无效或非正 (-0.22321497253803904).
301089,拓新药业,2025-06-06,AdaptedMAPullbackStrategy,Daily,40.99亿,,2.65,-0.10,-2.72,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-2.723409398568942).; PE计算失败：年度净利润无效或非正 (-19884900.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-2.723409398568942).; PE计算失败：年度净利润无效或非正 (-19884900.0).
301105,鸿铭股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,17.72亿,,2.09,-0.00,-0.07,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.07180006443595537).; PE计算失败：年度净利润无效或非正 (-9770900.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.07180006443595537).; PE计算失败：年度净利润无效或非正 (-9770900.0).
301125,腾亚精工,2025-06-06,AdaptedMAPullbackStrategy,Daily,18.53亿,178.26,3.06,0.13,1.18,1.51,是,是,否,否,,
301131,聚赛龙,2025-06-06,AdaptedMAPullbackStrategy,Daily,21.95亿,57.05,2.47,0.06,0.09,6.12,是,是,否,否,,
301151,冠龙节能,2025-06-06,ChanBreakoutStrategyV8,Daily,29.35亿,38.68,1.41,0.07,0.39,0.99,是,是,否,是,,
301155,海力风电,2025-06-06,RefactoredMultiLevelCrossStrategy,Daily,140.04亿,211.83,2.56,2.52,-0.13,,否,否,否,不适用,,PEG近似值计算失败：利润增长率无效或非正 (-0.13273025467243407).; PEG近似值计算失败：利润增长率无效或非正 (-0.13273025467243407).
301235,华康洁净,2025-06-06,AdaptedMAPullbackStrategy,Daily,25.71亿,38.49,1.46,0.28,0.10,3.96,否,是,否,否,,
301258,富士莱,2025-06-06,AdaptedMAPullbackStrategy,Daily,27.98亿,170.53,1.46,0.17,3.14,0.54,是,是,否,是,,
301297,富乐德,2025-06-06,AdaptedMAPullbackStrategy,Daily,143.44亿,131.60,9.22,0.28,0.10,13.40,是,是,否,否,,
301302,华如科技,2025-06-06,AdaptedMAPullbackStrategy,Daily,37.35亿,,2.22,0.02,-0.00,,否,否,不适用,不适用,,PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.001066889438549433).; PE计算失败：年度净利润无效或非正 (-354000000.0).; PEG近似值计算失败：PE 是 NaN.; PEG近似值计算失败：利润增长率无效或非正 (-0.001066889438549433).; PE计算失败：年度净利润无效或非正 (-354000000.0).
301317,鑫磊股份,2025-06-06,AdaptedMAPullbackStrategy,Daily,53.87亿,102.89,3.74,-0.22,30.18,0.03,是,否,否,是,,
301320,豪江智能,2025-06-06,AdaptedMAPullbackStrategy,Daily,34.28亿,73.13,3.25,0.07,0.29,2.52,是,是,否,否,,
